Year,Zc_rate,Mo2ele,Ecart,,,,Bo,0.004516229
1,-0.003937,0.004517079,7.14714E-05,,,,B1,0.050625152
2,0.000992,0.004516654,1.24232E-05,,,,B2,0.050638229
3,0.000701,0.004516512,1.45581E-05,,,,B3,-0.00045658
4,0.001704,0.004516441,7.90983E-06,,Ecart sum,,Lo,1E-05
5,0.002338,0.004516399,4.74542E-06,,0.00015072,,L1,0.000356918
6,0.002821,0.004516371,2.87428E-06,,,,,
7,0.003286,0.00451635,1.51376E-06,,target,,,variable
8,0.003762,0.004516335,5.69022E-07,,,,,
9,0.00422,0.004516323,8.78075E-08,,,,,
10,0.004628,0.004516314,1.24738E-08,,,,,
11,0.005017,0.004516306,2.50694E-07,,,,,
12,0.005345,0.0045163,6.86744E-07,,,,,
13,0.005644,0.004516294,1.27172E-06,,,,,
14,0.005881,0.00451629,1.86243E-06,,,,,
15,0.006056,0.004516286,2.37072E-06,,,,,
16,0.006178,0.004516282,2.76131E-06,,,,,
17,0.006248,0.004516279,2.99886E-06,,,,,
18,0.006265,0.004516276,3.05804E-06,,,,,
19,0.006251,0.004516274,3.00928E-06,,,,,
20,0.006204,0.004516271,2.84843E-06,,,,,
21,0.006137,0.004516269,2.62677E-06,,,,,
22,0.006048,0.004516268,2.3462E-06,,,,,
23,0.005949,0.004516266,2.05273E-06,,,,,
24,0.00584,0.004516264,1.75228E-06,,,,,
25,0.005709,0.004516263,1.42262E-06,,,,,
26,0.005579,0.004516262,1.12941E-06,,,,,
27,0.005439,0.00451626,8.51448E-07,,,,,
28,0.005289,0.004516259,5.97128E-07,,,,,
29,0.00515,0.004516258,4.01629E-07,,,,,
30,0.005022,0.004516257,2.55776E-07,,,,,
